Job Name,Potential Strength,Max Angular Momentum,Spin Type,Status,PID
V0.10_J02_ortho,0.1,2,ortho,COMPLETED,-
V0.10_J04_ortho,0.1,4,ortho,COMPLETED,-
V0.10_J06_ortho,0.1,6,ortho,COMPLETED,-
V0.10_J08_ortho,0.1,8,ortho,COMPLETED,-
V0.50_J02_ortho,0.5,2,ortho,COMPLETED,-
V0.50_J04_ortho,0.5,4,ortho,COMPLETED,-
V0.50_J06_ortho,0.5,6,ortho,COMPLETED,-
V0.50_J08_ortho,0.5,8,ortho,COMPLETED,-
V1.00_J02_ortho,1.0,2,ortho,COMPLETED,-
V1.00_J04_ortho,1.0,4,ortho,COMPLETED,-
V1.00_J06_ortho,1.0,6,ortho,COMPLETED,-
V1.00_J08_ortho,1.0,8,ortho,COMPLETED,-
V2.00_J02_ortho,2.0,2,ortho,COMPLETED,-
V2.00_J04_ortho,2.0,4,ortho,COMPLETED,-
V2.00_J06_ortho,2.0,6,ortho,COMPLETED,-
V2.00_J08_ortho,2.0,8,ortho,COMPLETED,-
